name1,name2,soundex_ratio,metaphone_ratio,levenshtein_ratio,jaro_winkler_ratio,cosine_similarity,euclidean_similarity,manhattan_similarity,pearson_similarity
charaN,Ashwani,0.5,0.57,0.2857142857142857,0.6626984126984127,0.34481003880500793,0.46626170203979156,0.05270819738507271,0.6722976826896812
charaN,Stuti,0.25,0.0,0.0,0.0,0.4360591769218445,0.4849618944008998,0.05599185451865196,0.7177885801129946
charaN,Abhijeet,0.0,0.0,0.125,0.3611111111111111,0.2680166959762573,0.4524999809853741,0.04913134127855301,0.6337895174978314
charaN,Harshvardhan,0.25,0.55,0.41666666666666663,0.6666666666666666,0.3337342441082001,0.4641764016939772,0.05244011804461479,0.6668583142068485
charaN,Ajit,0.25,0.0,0.16666666666666663,0.47222222222222215,0.3101809322834015,0.4598588947302061,0.050640251487493515,0.6548765996830639
charaN,Poornima,0.5,0.57,0.125,0.5138888888888888,0.30479753017425537,0.45889359735563406,0.05166880786418915,0.6523150866248102
charaN,Anil,0.5,0.33,0.16666666666666663,0.47222222222222215,0.29581311345100403,0.4572998087308277,0.05121513456106186,0.6478351097794643
charaN,Mahendra,0.25,0.25,0.25,0.6861111111111112,0.3296281397342682,0.4634124594557298,0.052118465304374695,0.6647079805333078
charaN,Ahmad,0.5,0.0,0.33333333333333337,0.5888888888888889,0.2879432141780853,0.4559210189846253,0.05066930502653122,0.6437469314377893
charaN,Shalini,0.5,0.67,0.4285714285714286,0.6428571428571429,0.3523337244987488,0.4676990983673645,0.05370830371975899,0.6759876615878007
charaN,Abhijit,0.0,0.0,0.1428571428571429,0.373015873015873,0.29479652643203735,0.45712081081294637,0.05041411891579628,0.6472065520779751
charaN,Suyash,0.25,0.33,0.0,0.4444444444444444,0.34035396575927734,0.4654183912382516,0.05416984111070633,0.670111697826087
charaN,Sanskriti,0.25,0.22,0.11111111111111116,0.5,0.3687395751476288,0.47089413778167677,0.053283385932445526,0.6841902013282422
charaN,Danish,0.5,0.33,0.0,0.4444444444444444,0.3190196752548218,0.46146090529999056,0.05129534378647804,0.6594104787416057
charaN,Tamanna,0.5,0.33,0.2857142857142857,0.6428571428571429,0.3095270097255707,0.4597412482308808,0.05233098939061165,0.6545430724994219
charaN,Unnati,0.5,0.33,0.0,0.4444444444444444,0.30551326274871826,0.45902148505888846,0.051694244146347046,0.6526146258931291
charaN,Sachin,0.5,0.67,0.16666666666666663,0.6944444444444443,0.31828710436820984,0.46132731649489683,0.05161641910672188,0.658923864451765
charaN,Anupam,0.25,0.29,0.16666666666666663,0.5555555555555555,0.20524407923221588,0.4423294179893008,0.048974066972732544,0.6026298027327286
charaN,Shailesh,0.25,0.33,0.25,0.5277777777777778,0.42114657163619995,0.4817029872034092,0.05544788017868996,0.7105886362239549
charaN,Shoaib,0.25,0.4,0.16666666666666663,0.5555555555555555,0.2801344692707062,0.4545686227216792,0.049312517046928406,0.6398983921846764
charaN,Vishnu,0.5,0.67,0.0,0.5555555555555555,0.24665343761444092,0.44893897955024586,0.0493127815425396,0.6232890055938398
charaN,Surya,0.5,0.33,0.16666666666666663,0.41111111111111115,0.41532793641090393,0.48045456826026883,0.055263590067625046,0.7074580228463816
charaN,Pankaj,0.25,0.29,0.16666666666666663,0.5555555555555555,0.3852888345718384,0.4742048811184771,0.05476662144064903,0.6924995235798974
charaN,Kaif,0.25,0.0,0.16666666666666663,0.47222222222222215,0.4233176112174988,0.48217210491667817,0.056007273495197296,0.7115218676145432
charaN,Pooja,0.25,0.0,0.16666666666666663,0.45555555555555555,0.319878488779068,0.4616177373389545,0.05055771395564079,0.6597385702593073
charaN,Gayathri,0.5,0.29,0.125,0.5138888888888888,0.35987669229507446,0.46915761160603303,0.05342347174882889,0.6797573296722703
charaN,Pradeep,0.25,0.29,0.1428571428571429,0.373015873015873,0.305422306060791,0.4590052346223325,0.05159247666597366,0.652512056218157
charaN,Ritu,0.25,0.4,0.0,0.0,0.28724467754364014,0.4557994097640719,0.0515953004360199,0.6432936909710847
charaN,Dinesh,0.5,0.33,0.0,0.0,0.23993128538131714,0.4478403625685125,0.05028551071882248,0.6198074544859864
charaN,Shriya,0.5,0.67,0.16666666666666663,0.6666666666666666,0.3379650413990021,0.4649687152722561,0.05328397452831268,0.6688753456290044
charaN,Tharun,0.75,0.67,0.6666666666666667,0.7777777777777777,0.2579725980758667,0.4508123250293251,0.04989093914628029,0.6288182406278793
charaN,Karan,0.75,0.67,0.6666666666666667,0.8222222222222223,0.564466655254364,0.5172477250503483,0.0648994892835617,0.7821086699124038
charaN,Kiran,0.75,0.67,0.5,0.5888888888888889,0.340892493724823,0.4655199988723557,0.05260773003101349,0.6704083444676172
charaN,Tarun,0.75,0.67,0.5,0.7000000000000001,0.3778636157512665,0.47270823421389807,0.05483628436923027,0.6886528306948776
charaN,Samarth,0.25,0.29,0.2857142857142857,0.5317460317460317,0.3522855043411255,0.46768984152384474,0.052665065973997116,0.675989403132462
charaN,Ruchi,0.25,0.4,0.0,0.5777777777777778,0.38402149081230164,0.47394810553993766,0.05491483956575394,0.6917637426076908
charaN,Udit,0.25,0.0,0.0,0.0,0.361782044172287,0.4695288198883545,0.053810250014066696,0.6807499414137368
charaN,Rashi,0.25,0.4,0.16666666666666663,0.41111111111111115,0.40766966342926025,0.4788306055152744,0.05670797824859619,0.7036554771649648
charaN,Shailendra,0.25,0.5,0.30000000000000004,0.6,0.462042897939682,0.4908546618450772,0.059261176735162735,0.731097360320943
charaN,Sameer,0.5,0.33,0.0,0.5555555555555555,0.21233293414115906,0.44343476547236227,0.04805867001414299,0.6058764051711591
charaN,Shubhi,0.25,0.33,0.16666666666666663,0.4444444444444444,0.2782682776451111,0.45424766594920807,0.050273146480321884,0.6391300237230126
charaN,Siddhant,0.25,0.25,0.25,0.625,0.31118831038475037,0.46004042227202036,0.051993872970342636,0.6554314428655061
charaN,Mahi,0.25,0.0,0.16666666666666663,0.4444444444444444,0.30394938588142395,0.45874224814330317,0.05063533037900925,0.651863061806452
charaN,Kanika,0.5,0.33,0.0,0.5555555555555555,0.46592795848846436,0.49176041513576685,0.05848108232021332,0.7328212064260913
charaN,Aishwarya,0.5,0.5,0.33333333333333337,0.5370370370370371,0.26733076572418213,0.4523839466894345,0.0503828339278698,0.6337960824115925
charaN,Rajat,0.25,0.33,0.33333333333333337,0.5777777777777778,0.37319862842559814,0.4717773259936821,0.053247708827257156,0.6864266444767111
charaN,Rituraj,0.25,0.29,0.2857142857142857,0.5396825396825397,0.2916610538959503,0.4565703676719794,0.050904531031847,0.6456007412598552
charaN,Naman,0.5,0.33,0.5,0.7000000000000001,0.45957133173942566,0.4902818945789144,0.05843791365623474,0.7297072422505408
charaN,Mukesh,0.25,0.33,0.0,0.0,0.2227139174938202,0.44507251880106746,0.04976430907845497,0.6112530295001903
charaN,Roshan,0.5,0.67,0.33333333333333337,0.6666666666666666,0.4309772551059723,0.48384159454509873,0.05664627254009247,0.715292206545513
charaN,Nandini,0.25,0.29,0.1428571428571429,0.5396825396825397,0.34921351075172424,0.4671008957241093,0.0536920502781868,0.674605725002067
charaN,Rashmi,0.5,0.33,0.0,0.38888888888888884,0.41893771290779114,0.48122757603596117,0.05692635849118233,0.7092635858111009
charaN,Vigneshwaran,0.25,0.6,0.41666666666666663,0.47222222222222215,0.29480069875717163,0.45712153320135823,0.05211399868130684,0.6474477394058731
charaN,Kriti,0.5,0.33,0.0,0.45555555555555555,0.4125382900238037,0.47986050502858846,0.05492336302995682,0.706146345641244
charaN,Arpita,0.25,0.29,0.0,0.6666666666666666,0.2879756689071655,0.4559266687388775,0.051533591002225876,0.6437613274300702
charaN,Divyanshi,0.25,0.25,0.2222222222222222,0.5185185185185185,0.4527263343334198,0.48870932006806245,0.05868653208017349,0.7262457604476253
charaN,Yogesh,0.25,0.33,0.0,0.0,0.19972237944602966,0.44147566386538345,0.04838433861732483,0.5995519863902103
charaN,Deepika,0.25,0.0,0.0,0.4365079365079365,0.3315594792366028,0.4637711670789239,0.05312824249267578,0.6656217314719584
charaN,Astha,0.25,0.0,0.16666666666666663,0.5888888888888889,0.2186456024646759,0.44442796179595223,0.04921668395400047,0.609018018811156
charaN,Sanjay,0.5,0.33,0.16666666666666663,0.5555555555555555,0.33845436573028564,0.46506066417469577,0.05266279727220535,0.6691166915268525
charaN,Mahek,0.25,0.0,0.16666666666666663,0.41111111111111115,0.29539287090301514,0.4572257554238616,0.05049644410610199,0.6476359176490689
charaN,Narendra,0.5,0.5,0.25,0.6388888888888888,0.41092613339424133,0.47951853152205687,0.056738466024398804,0.7053189305710532
charaN,Ekta,0.25,0.0,0.16666666666666663,0.47222222222222215,0.249378964304924,0.44938732290317457,0.0506957471370697,0.624476248635176
charaN,Adil,0.25,0.0,0.16666666666666663,0.47222222222222215,0.30036941170692444,0.4581053985457464,0.051935821771621704,0.6499690236025355
charaN,Ritesh,0.25,0.33,0.0,0.0,0.2977147102355957,0.4576353554316419,0.051084451377391815,0.6486098749693712
charaN,Bhumika,0.5,0.0,0.1428571428571429,0.5396825396825397,0.3174199163913727,0.46116936333333775,0.051685888320207596,0.6585338985761098
charaN,Samriddhi,0.25,0.25,0.11111111111111116,0.5185185185185185,0.38085657358169556,0.4733092776338869,0.05513041466474533,0.6905053581023672
charaN,Anmol,0.5,0.29,0.0,0.45555555555555555,0.24277541041374207,0.4483039301722644,0.05015643686056137,0.6212618426685594
charaN,Aayushi,0.25,0.4,0.0,0.4365079365079365,0.37111446261405945,0.4713637230764649,0.053681790828704834,0.6854711428828466
charaN,Akshay,0.25,0.33,0.16666666666666663,0.5555555555555555,0.3875834345817566,0.4746711041538973,0.055374111980199814,0.6936869632019054
charaN,Shekhar,0.5,0.57,0.2857142857142857,0.5396825396825397,0.39700254797935486,0.47660398028657003,0.05451355129480362,0.6984882863332302
charaN,Amisha,0.5,0.33,0.0,0.5555555555555555,0.3465760350227356,0.4665975572373531,0.053414490073919296,0.6731508285038785
charaN,Amrita,0.25,0.29,0.0,0.6666666666666666,0.3059152364730835,0.4590933825566025,0.05058453977108002,0.6526603098974988
charaN,Sekhar,0.5,0.29,0.16666666666666663,0.6666666666666666,0.31072431802749634,0.4599567777241773,0.051639631390571594,0.6553103935167854
charaN,Kundalik,0.25,0.25,0.125,0.3611111111111111,0.47711610794067383,0.4944062995575007,0.060654159635305405,0.738506175623975
charaN,Durga,0.5,0.33,0.16666666666666663,0.41111111111111115,0.3018137514591217,0.45836191968254014,0.05073484778404236,0.6508210080870391
charaN,Apurva,0.25,0.29,0.16666666666666663,0.6666666666666666,0.33539313077926636,0.46448644440744424,0.052141398191452026,0.6674620081824116
charaN,Alka,0.25,0.0,0.16666666666666663,0.611111111111111,0.33199989795684814,0.46385312691927577,0.051717374473810196,0.6658319319615771
charaN,Indora,0.25,0.29,0.16666666666666663,0.5555555555555555,0.2910313904285431,0.4564601598963952,0.050335343927145004,0.6453459183737067
charaN,Aqsa,0.25,0.0,0.16666666666666663,0.611111111111111,0.23553916811943054,0.44712806071034483,0.05073719099164009,0.6178181066075439
charaN,Anwar,0.5,0.29,0.16666666666666663,0.5888888888888889,0.31988728046417236,0.46161933769690106,0.05193483084440231,0.6597489228051643
charaN,Apratim,0.25,0.25,0.1428571428571429,0.6428571428571429,0.26734933257102966,0.45238709383768644,0.05072600021958351,0.6333800954985733
charaN,Hasni,0.5,0.33,0.33333333333333337,0.7000000000000001,0.292366623878479,0.4566940296646678,0.050954848527908325,0.6459535159555116
charaN,Dalia,0.25,0.0,0.16666666666666663,0.5777777777777778,0.3481007516384125,0.46688828709611635,0.05361379310488701,0.6738412581249662
charaN,Aadharsh,0.25,0.29,0.375,0.6388888888888888,0.30344879627227783,0.45865298112124764,0.05220315605401993,0.6517182539212527
charaN,Amarnath,0.5,0.5,0.375,0.6388888888888888,0.25760626792907715,0.4507512325309615,0.04926324263215065,0.6286898729036068
charaN,Bramoni,0.5,0.57,0.2857142857142857,0.5317460317460317,0.365854948759079,0.47032620993272883,0.05293405055999756,0.6826669984408582
charaN,Nethaji,0.25,0.33,0.1428571428571429,0.5396825396825397,0.2929825484752655,0.45680206188598527,0.053099144250154495,0.6463726672082828
charaN,Chetna,0.75,0.67,0.33333333333333337,0.6944444444444443,0.41245853900909424,0.4798435690635217,0.05606325343251228,0.7060411640879174
charaN,Aastha,0.25,0.0,0.0,0.5555555555555555,0.2969967722892761,0.45750856321090577,0.051903627812862396,0.6483930607786306
charaN,Aakriti,0.25,0.33,0.1428571428571429,0.5396825396825397,0.3707430958747864,0.4712901819077464,0.054008789360523224,0.6852881051766246
charaN,Abhyuday,0.25,0.0,0.25,0.5138888888888888,0.20132111012935638,0.4417222210930137,0.04846739396452904,0.6004475330397732
charaN,Akarsh,0.25,0.29,0.33333333333333337,0.5555555555555555,0.2170155942440033,0.4441706849427785,0.0482407845556736,0.6083799938159871
charaN,Navneet,0.25,0.29,0.0,0.5396825396825397,0.24557851254940033,0.4487626006058391,0.04988929629325867,0.6226083380908563
charaN,Om,0.5,0.0,0.0,0.0,0.2610390782356262,0.4513250201502446,0.05085908621549606,0.630215086844089
charaN,Swapnil,0.25,0.25,0.1428571428571429,0.5396825396825397,0.34992095828056335,0.46723626221372505,0.05341283604502678,0.6747696599881294
charaN,Akhil,0.25,0.0,0.0,0.41111111111111115,0.31903544068336487,0.4614637992265265,0.05108023062348366,0.659317089215719
charaN,Madhav,0.25,0.0,0.16666666666666663,0.5555555555555555,0.33766746520996094,0.46491279554225945,0.0528462789952755,0.6686898060500539
charaN,Divyam,0.5,0.0,0.16666666666666663,0.4444444444444444,0.3683537542819977,0.47081802125734096,0.05432945489883423,0.6839762406702619
charaN,Kirti,0.5,0.33,0.16666666666666663,0.45555555555555555,0.3423232436180115,0.4657903247014005,0.05354161933064461,0.6709134588995198
charaN,Annanya,0.5,0.29,0.1428571428571429,0.6428571428571429,0.3974335491657257,0.47669313955430376,0.05691291019320488,0.6985901261982974
charaN,Arunima,0.5,0.57,0.1428571428571429,0.6626984126984127,0.24819986522197723,0.44919315217510625,0.04969455674290657,0.6238172446161911
charaN,Niteesh,0.25,0.33,0.0,0.0,0.2852967381477356,0.45546096008424874,0.05083473399281502,0.6426012911818475
charaN,Nithisha,0.25,0.33,0.125,0.5277777777777778,0.3344542682170868,0.4643108748913476,0.05260655656456947,0.6671948128546035
charaN,Sandhya,0.5,0.25,0.0,0.5396825396825397,0.2562773823738098,0.45052986861518346,0.04922359436750412,0.6279800342612702
charaN,Uttam,0.5,0.0,0.16666666666666663,0.45555555555555555,0.36073750257492065,0.46932518134819384,0.054600030183792114,0.6801409490344668
charaN,Vatsalya,0.0,0.0,0.125,0.5277777777777778,0.3486500680446625,0.4669931893412132,0.05475210025906563,0.6742640858639959
charaN,Aparna,0.5,0.57,0.33333333333333337,0.6944444444444443,0.36852940917015076,0.4708526935110335,0.056094154715538025,0.6840225262899651
charaN,Disha,0.25,0.4,0.16666666666666663,0.5777777777777778,0.40021148324012756,0.47726955149927336,0.055564459413290024,0.6999731469229573
